Entity,Year,Emigration_Rate,Schooling,Happiness,GDP,Unemployment,Undernourishment,Temp_5yr_avg,Collapse_Index
Serbia,2015,0.1080422506815626,11.49,5.177,18246.79,17.66,2.5,0.0914707344,0.38828188215552684
Serbia,2020,0.12440549209923718,11.72,6.078,21477.877,9.011,2.5,0.3756223208333333,-0.06634440331136701
Sierra Leone,2015,0.00844030544243399,4.23,4.635,2630.535,4.606,24.5,0.0914707344,0.3831199165172056
Sierra Leone,2020,0.008212263115450542,4.99,3.849,2755.1025,3.508,28.2,0.3756223208333333,0.5640814059608562
Slovakia,2015,0.07395487832911891,13.03,6.078,33507.727,11.492,5.7,0.0914707344,-0.14604198835972373
Slovakia,2020,0.07230925304141426,13.14,6.331,36201.414,6.719,2.8,0.3756223208333333,-0.4481853183886857
Slovenia,2015,0.04449388479115472,11.95,5.768,38537.094,8.962,2.5,0.0914707344,-0.36387456623522796
Slovenia,2020,0.03855935609471176,12.06,6.461,42474.227,4.971,2.5,0.3756223208333333,-0.6797954291042994
South Africa,2015,0.013800602980745065,10.15,4.459,14559.475,25.149,6.5,0.0914707344,0.6622303330330949
South Africa,2020,0.014831040143835841,10.47,4.956,13266.786,29.217,6.9,0.3756223208333333,0.7364036719383782
South Korea,2015,0.04241055741724315,13.33,5.835,42459.902,3.546,2.5,0.0914707344,-0.6057333552173569
South Korea,2020,0.03931844822064881,13.68,5.845,46361.598,3.931,2.5,0.3756223208333333,-0.636681084677142
Spain,2015,0.027997062699616052,11.24,6.361,43053.76,22.057,2.5,0.0914707344,-0.09569067419147673
Spain,2020,0.0308641146730579,11.51,6.491,41553.45,15.532,2.5,0.3756223208333333,-0.326988750203838
Sri Lanka,2015,0.057360627428241405,10.09,4.415,13329.779,4.519,5.2,0.0914707344,0.04150984662155466
Sri Lanka,2020,0.062485107576485004,10.33,4.325,13886.651,5.364,3.8,0.3756223208333333,0.06589948870131819
Sudan,2015,0.05519381124024918,3.85,4.139,4159.1943,14.347,9.2,0.0914707344,0.5960397017031747
Sweden,2015,0.019473170166222034,11.89,7.291,58975.977,7.432,2.5,0.0914707344,-0.9402109789988415
Sweden,2020,0.01939107266381177,11.93,7.363,59572.477,8.291,2.5,0.3756223208333333,-0.9288326575342353
Switzerland,2015,0.06034918166959201,12.95,7.509,76566.08,4.801,2.5,0.0914707344,-1.1267933991545813
Switzerland,2020,0.0586815795510071,12.97,7.571,77324.89,4.817,2.5,0.3756223208333333,-1.1484878664991869
Syria,2015,0.30793197188206817,7.44,3.069,5302.074,14.243,10.8,0.0914707344,1.443302627728692
Tajikistan,2015,0.06206709773284764,10.16,4.996,3041.4448,11.485,16.3,0.0914707344,0.5160797638728143
Tajikistan,2020,0.053129800338731596,10.12,5.466,3724.749,12.321,9.4,0.3756223208333333,0.2861808577376509
Tanzania,2015,0.004259879258663403,6.41,3.666,3111.4446,2.159,21.9,0.0914707344,0.404826845046048
Tanzania,2020,0.0036004577319497678,6.87,3.623,3449.8215,2.781,23.5,0.3756223208333333,0.4633628460311705
Thailand,2015,0.012862033988931822,8.71,6.474,18811.998,0.597,7.4,0.0914707344,-0.5851109789838914
Thailand,2020,0.015016913943323676,9.32,5.985,19957.258,1.099,6.1,0.3756223208333333,-0.5105577273186291
Togo,2015,0.0638423979332913,6.85,3.303,2317.5479,2.204,20.2,0.0914707344,0.5930423805156854
Togo,2020,0.062271554067310816,7.68,4.107,2490.053,2.225,16.0,0.3756223208333333,0.3534772250420062
Trinidad and Tobago,2015,0.2263170047369489,11.0,6.168,38951.926,2.428,6.8,0.0914707344,-0.12367602200822463
Tunisia,2015,0.05432532294008123,8.63,5.045,12802.761,15.159,3.2,0.0914707344,0.2538113820465083
Tunisia,2020,0.05629578543882116,9.29,4.596,11955.566,17.656,3.2,0.3756223208333333,0.4354853933853501
Turkey,2015,0.034088627394264985,8.13,5.389,25746.432,10.304,2.5,0.0914707344,-0.15963834153222461
Turkey,2020,0.03296270484453604,8.49,4.948,28378.553,13.148,2.5,0.3756223208333333,-0.0061142044402573426
Uganda,2015,0.01649454254944201,6.27,3.739,2520.02,2.679,33.3,0.0914707344,0.6851290904659756
Uganda,2020,0.013186653358870435,6.69,4.636,2678.009,3.831,37.1,0.3756223208333333,0.6320333068945096
Ukraine,2015,0.10143105247091924,10.81,4.324,15403.71,9.14,2.5,0.0914707344,0.25471165761445813
Ukraine,2020,0.09742681782868079,10.82,4.875,17092.54,9.475,4.3,0.3756223208333333,0.1786877269336629
United Arab Emirates,2015,0.014006240955669248,9.35,6.573,70234.734,1.793,4.6,0.0914707344,-1.076619972463559
United Arab Emirates,2020,0.01513262011472897,9.57,6.561,65784.68,4.294,3.1,0.3756223208333333,-0.9759251532050841
United Kingdom,2015,0.0701030482238818,12.67,6.725,49983.348,5.517,2.5,0.0914707344,-0.6969752282373723
United Kingdom,2020,0.06993985021349076,12.9,7.064,47144.723,4.472,2.5,0.3756223208333333,-0.7703754525448582
United States,2015,0.009102093931061645,13.29,7.104,64359.473,5.28,2.5,0.0914707344,-1.055408594095492
United States,2020,0.009080821077881874,13.32,6.951,67342.07,8.055,2.5,0.3756223208333333,-0.9571699572397765
