countries,countries_code,year,undernourishment_percent,minimum_calories,cereal_production,cereal_yield,land_usage,population,gdp_per_capita,continent,yearly_mean,yield_index_2001,prod_index_2001,yield_index_z,undernourishment_z,food_stress_score,total_num_of_emigrants,emigrant_index_2000
India,IND,2003,21.5,1733,236592700.0,2.3994,98603104.0,1116803000.0,3445.926,Asia,0.008699,99.02190590384996,97.37776151746728,-0.8028722717981986,1.3373083012558147,2.140180573054013,,
India,IND,2004,22.0,1739,229845500.0,2.3500001,97805696.0,1135991509.0,3656.1262,Asia,0.070052,96.98319945662999,94.60072218991974,-0.8660465915142339,1.3957608910950494,2.2618074826092833,,
India,IND,2005,21.4,1744,239997490.0,2.4116,99519200.0,1154676321.0,3881.966,Asia,0.092185,99.5253931306679,98.7791184851043,-0.7872704851440633,1.3256177832879676,2.112888268432031,9500673.0,122.135583519909
India,IND,2006,19.2,1750,242785580.0,2.4465,99236800.0,1172878888.0,4129.7783,Asia,0.044091,100.96569675492577,99.92665162162642,-0.7426391446334625,1.0684263879953346,1.8110655326287972,,
India,IND,2007,16.8,1754,260485900.0,2.5833,100833504.0,1190676028.0,4379.696,Asia,0.036684,106.6113568064581,107.2118195061083,-0.56769452051168,0.7878539567670081,1.355548477278688,,
India,IND,2008,15.6,1757,266835300.0,2.6379,101155504.0,1207930960.0,4450.39,Asia,0.095789,108.86466849369252,109.82513073244371,-0.4978701310595645,0.6475677411528445,1.145437872212409,,
India,IND,2009,15.3,1761,250783400.0,2.5808,97171600.0,1225524764.0,4731.362,Asia,0.034867,106.50818319440525,103.21842608727827,-0.5708916079408062,0.6124961872493038,1.18338779519011,,
India,IND,2010,14.8,1764,267838300.0,2.6764,100075800.0,1243481565.0,5059.2827,Asia,0.13055,110.45354211930652,110.23794944917513,-0.4486349846510219,0.554043597410069,1.0026785820610908,12350515.0,158.77163189348678
India,IND,2011,14.3,1767,287860000.0,2.8607001,100625696.0,1261224956.0,5249.5493,Asia,0.011309,118.05950492678758,118.47856011795008,-0.21294557149234666,0.4955910075708343,0.708536579063181,,
India,IND,2012,13.5,1771,293290000.0,2.9635,98969000.0,1278674501.0,5460.4375,Asia,0.039828,122.30199972745659,120.71346104701446,-0.08148146429017658,0.4020668638280586,0.4835483281182352,,
India,IND,2013,12.9,1774,295669500.0,2.9775002,99299952.0,1295829507.0,5732.2417,Asia,0.06705,122.87978020884157,121.69282509134385,-0.06357751892007543,0.33192375602097696,0.39550127494105236,,
India,IND,2014,12.6,1777,297113500.0,2.9664001,100160240.0,1312277184.0,6079.8438,Asia,0.106208,122.42168524438239,122.28715233656835,-0.07777271498889302,0.296852202117436,0.37462491710632906,,
India,IND,2015,12.2,1781,285997000.0,2.854,100210200.0,1328024494.0,6488.146,Asia,0.255577,117.78299551954146,117.71177919145894,-0.22151389368590144,0.25009013024604815,0.47160402393194956,15277263.0,196.3963427740451
India,IND,2016,11.5,1785,295359000.0,2.9951003,98613400.0,1343944296.0,6940.626,Asia,0.439195,123.60612656463815,121.565028270262,-0.041069895535530726,0.1682565044711196,0.20932640000665031,,
India,IND,2017,10.5,1788,311410340.0,3.1277,99566816.0,1359657398.0,7326.607,Asia,0.343641,129.07844256708822,128.17150242840714,0.1285032380548278,0.051351324792650095,-0.07715191326217771,,
India,IND,2018,10.3,1791,321550660.0,3.278,98093072.0,1374659067.0,7714.34,Asia,0.263885,135.281240123706,132.34509553872203,0.32071213429389206,0.027970288856956276,-0.29274184543693577,,
India,IND,2019,11.6,1794,324951330.0,3.4160001,95126096.0,1389030307.0,7930.0913,Asia,0.399228,140.97642763596818,133.74475678042396,0.497191488265152,0.17994702243896651,-0.3172444658261855,,
India,IND,2020,13.1,1797,342151900.0,3.3838003,101113920.0,1402617694.0,7399.531,Asia,0.432163,139.64755976661633,140.82423557847858,0.456013257945001,0.35530479195667075,-0.10070846598833028,16532761.0,212.5363552592742
India,IND,2021,14.0,1800,355108300.0,3.4978,101522008.0,1414203896.0,8050.0186,Asia,0.273691,144.35226409539317,146.1568820604914,0.6018000610626619,0.46051945366729335,-0.14128060739536857,,
